,,,,,,Product Master List,,,,,
,,,,,,,,,,,
Cake List ,Description,Allergen-Free,,Retail Price ,Uber Price,Food Cost,Labor Cost,Packaging Cost,Total Cost,Profit $,Profit %
ChocoHazelnut Cake,"Milk Chocolate Cremeux, Dark Chocolate Mousse, Hazelnut Crunch", ,"has Dairy, has Nut, has Gluten",56,59,,,,,,
Cleopatre Cake,"Milk Chocolate Ganache, Milk Chocolate Cream, Hazelnut Wafer", ,"has Hazlnuts, has Dairy, has Gluten",56,59,,,,,,
Blackcurrant Queen Cake,"Blackcurrant Compote , Blackcurrant Mousse, Hazelnut Crunch", ,"has Dairy, has Nuts, has Gluten, has Eggs",56,59,,,,,,
Coconut Dream Cake,"Coconut Dacquoise, Dairy Free Dark Chocolate Mousse, Toasted Coconut Diplomat","Gluten Free, Dairy Free, Nut Free",has Eggs,56,59,,,,,,
Lemon Pistachio Meringue Cake,"Pistachio Dacquoise, Dairy Free Lemon Cream, Meringue","Gluten Free, Dairy Free","has Nuts, has Eggs",56,55,,,,,,
Raspberry Pistachio Cake,"Pistachio Almond Cream, Raspberry Mousse, Almond Short Dough, Macaron", ,"has Nuts, has Dairy, has Gluten, has Eggs",50,53,,,,,,
Strawberry Cheesecake,"Light Cheesecake, Strawberry Mousse, Buttery Crumble, Almond Short Dough", ,"has Dairy, has Eggs, has Nuts, has Gluten",50,53,,,,,,
Cream & Crumb Cake,"Light No-Bake Cheesecake, Buttery Crumbles, Graham Cracker Crust",Nut Free,"has Dairy, has Honey, has Gluten",44,48,,,,,,
Chocolate Cream & Crumb Cake ,"Light No-Bake Chocolate Cheesecake, Cocoa Buttery Crumbles, Graham Cracker Crust",Nut Free,,44,48,,,,,,
Tiramisu Cake,"Tiramisu Mousse, Soft Chocolate Short Dough, Espresso Syrup, Cappuccino Chantilly",Nut Free,,50,53,,,,,,
Quite Daisy,"Passion Fruit Mousse, Passion Fruit Compote, Hazelnut Milk Chocolate Ganache, Cocoa Tart",,"has Nuts, has Dairy, has Eggs, has Gluten",56,,,,,,,
Personal Dessert List ,,,,,,,,,,,
Tiramichoux,"Cocoa Craquelin Choux Pastry, Sabayon Mascarpone Cream, Espresso Biscotti Savoiardi, Cappuccino Chantilly",Nut Free,"has Dairy, has Gluten, has Eggs, has Alchohol",9.00,10.5,,,,,,
Sweet Pleasure,"Hazelnut Dacquoise, Hazelnut Crunch, Milk Chocolate Ganache, Milk Chocolate Chantilly",Gluten Free,"has Nuts, has Dairy, has Eggs",10.50,11.5,,,,,,
Lemon Pistachio Meringue,"Pistachio Dacquoise, Dairy Free Lemon Cream, Meringue","Gluten Free, Dairy Free","has Nuts, has Eggs",11.50,12.5,,,,,,
Coconut Dream,"Coconut Dacquoise, Dairy Free Dark Chocolate Mousse, Toasted Coconut Diplomat","Gluten Free, Dairy Free, Nut Free",has Eggs,11.50,12.5,,,,,,
Rings of Paris,"Hazelnut Chantilly, Hazelnut Praline, Choux Pastry",,"has Dairy, has Nuts, has Gluten, has Gluten",10.50,11.5,,,,,,
Dubai Chocolate,"Cocoa Tart Shell, Kataifi Pistachio, Milk Chocolate Ganache, Milk Chocolate Mousse",,"has Nuts, has Diary, has Gluten, has Eggs",11.50,12.5,,,,,,
Cream & Crumb,"Light No-Bake Cheesecake, Buttery Crumbles, Graham Cracker Crust",Nut Free,"has Dairy, has Honey, has Gluten",9.50,10.5,,,,,,
Chocolate Cream & Crumb,"Light No-Bake Chocolate Cheesecake, Cocoa Buttery Crumbles, Graham Cracker Crust",Nut Free,,10.00,11.5,,,,,,
Daisy,"Passion Fruit Mousse, Passion Fruit Compote, Hazelnut Milk Chocolate Ganache, Cocoa Tart",,"has Nuts, has Dairy, has Eggs, has Gluten",11.50,12.5,,,,,,
Peaches & Cream ,"Almond Short Dough, Vanilla Mousse, Peach Joconde, Peach Brunoise",," has Dairy, has Nuts, has Gluten, has Eggs",11.50,12.5,,,,,,
Blackcurrant Queen,"Blackcurrant Compote , Blackcurrant Mousse, Hazelnut Crunch", ,"has Dairy, has Nuts, has Gluten, has Eggs",11.50,12.5,,,,,,
Strawberry Cheesecake Tart,"Light Cheesecake, Strawberry Mousse, Buttery Crumble, Almond Short Dough",,"has Dairy, has Eggs, has Nuts, has Gluten",10.50,11.5,,,,,,
Raspberry Pistachio Tart,"Pistachio Almond Cream, Raspberry Mousse, Almond Short Dough, Macaron",,"has Nuts, has Dairy, has Gluten, has Eggs",10.50,11.5,,,,,,
Cleopatra,"Milk Chocolate Ganache, Milk Chocolate Cream, Hazelnut Wafer", ,"has Nuts, has Dairy, has Gluten, has Eggs",11.50,12.5,,,,,,
Black Forest,"Dark Chocolate Mousse, Cherry Compote, White Chocolate Insert", ,"has Dairy, has Nuts, has Gluten, has Eggs",10.50,11.5,,,,,,
Personal Heart,"Raspberry Rose Mousse , Lychee Insert",,"has Nuts, has Dairy, has Gluten, has Eggs",10.50,11.5,,,,,,
Creme Berry Tart,"Almond Short Crust, Vanilla Crème Pâtissier, Fresh Ontario Berries",,"has Nuts, has Dairy, has Gluten, has Eggs",9.00,10.5,,,,,,
Matcha Latte,"White Chocolate Vanilla Mousse, Matcha Sponge Cake, Matcha Ganache, Matcha Chantilly, Matcha Nama",Nut Free,"has Gluten, Dairy, has Eggs",,,,,,,,
Puff Pastry,,,,,,,,,,,
Almond Croissant,,,,6.85,,,,,,,
Double Milk Chocolate Croissant,,,,6.85,,,,,,,
Butter Croissant,,,,4.50,,,,,,,
Salted Caramel Croissant,,,,6.85,,,,,,,
Raspberry Cheesecake Croissant,,,,6.85,,,,,,,
Pistachio Croissant,,,,6.85,,,,,,,
Creme Diplomat Croissant,,,,6.85,,,,,,,
Chocolatine,,,,5.50,,,,,,,
Sweet Cheese Danish ,,,,5.10,,,,,,,
Cherry Danish ,,,,5.75,,,,,,,
Cinnamon Roll,,,,5.25,,,,,,,
Pecan salted caramel Danish,,,,6.25,,,,,,,
Coconut Passion Fruit Croissant,,,,6.85,,,,,,,
Chocolate Chip Croissant,,,,6.85,,,,,,,
,,,,,,,,,,,
Drinks,,,,,,,,,,,
Espresso,,,,2.90,,,,,,,
Double Espresso,,,,3.80,,,,,,,
Macciato,,,,2.95,,,,,,,
Double Espresso,,,,3.85,,,,,,,
Latte,,,,4.35,,,,,,,
Capuccino,,,,4.35,,,,,,,
Chococinno,,,,5.95,,,,,,,
Mocaccino,,,,5.95,,,,,,,
Snow Latte,,,,5.75,,,,,,,
Fresh Juice,,,,9.25,,,,,,,
Granita De Caffe / Lemon,,,,6.00,,,,,,,
Iced Tea,,,,5.45,,,,,,,
Tea,,,,4.35,,,,,,,
Add Ons,,,,,,,,,,,
Oat / Almond ,,,,0.80,,,,,,,
Extra Shot,,,,0.60,,,,,,,
Large,,,,1.10,,,,,,,
Iced,,,,1.40,,,,,,,
Shelf,,,,,,,,,,,
Choco Chip & Hazelnut Cookies,,,"has Nuts, has Gluten, has Eggs, has Dairy",9.75,,,,,,,
Oatmeal Cookies,,Nut Free,"has Gluten, has Eggs, has Dairy",9.75,,,,,,,
Black Sesame Choco Chip,,Nut Free,"has Gluten, has Eggs, has Dairy",9.75,,,,,,,
Halva Cookies,,Nut Free,"has Gluten, has Eggs, has Dairy",9.75,,,,,,,
Pecan Tart,,,,25.00,,,,,,,
Chocolate Nemesis,,,,25.00,,,,,,,
Pear Breton,,,,24.00,,,,,,,
Meringues,,,,6.75,,,,,,,
Lumiere Marshmallows,,"Nut Free, Dairy, Gluten Free",,10.50,,,,,,,
Garlic Red Pepper Crostini,,,,9.75,,,,,,,
Lemon Chilli Crostini,,,,9.75,,,,,,,
Hazelnut Dacquoise Square ,,,,12.00,,,,,,,
Biscotti,,,,9.75,,,,,,,
Crincle Cookie,,"Nut Free, Dairy Free","has Gluten, has Eggs",,,,,,,,
Hazelnut Cookie,,,"has Nuts, has Gluten, has Eggs, has Dairy",,,,,,,,
Sweetheart,,Nut Free,"has Gluten, has Eggs, has Dairy",,,,,,,,
Bread,,,,,,,,,,,
Tartine,,,,7.00,,,,,,,
Rye & Walnut,,,,7.50,,,,,,,
Whole Wheat & Seeds,,,,7.50,,,,,,,
Jalapeno & Onions,,,,7.50,,,,,,,
Tomato & Garlic ,,,,7.50,,,,,,,
Greek Olive,,,,7.50,,,,,,,
Yesterday's Sourdough,,,,4.30,,,,,,,
Classic Challah,,,,7.95,,,,,,,
Japanese Milk Bread,,,,6.50,,,,,,,
French Baguette,,,,3.45,,,,,,,
